district,latitude,longitude,population,area_km2,num_hospitals,num_banks,num_offices,num_stations,nearest_hospital_km,nearest_bank_km,nearest_office_km,nearest_station_km,avg_hospital_dist_km,avg_bank_dist_km,avg_station_dist_km,hospital_density,bank_density,station_density,hospital_per_10k_people,bank_per_10k_people,station_per_100k_people,medical_score,financial_score,transport_score,administrative_score,total_accessibility_score,grade
강남구,37.5172,127.0473,540000,39.5,37,32,15,12,0.5706345844422148,0.2778836896417125,0.0,1.018769663100348,0.9522096213421918,0.5130857841799816,2.3288940447749145,0.9367088607594937,0.810126582278481,0.3037974683544304,0.6851851851851852,0.5925925925925926,2.2222222222222223,59.90074252292345,77.03587773442415,59.84869291863421,50,61.83,C
강동구,37.5301,127.1238,432000,24.6,10,12,20,5,1.335149467097819,1.0777678827967376,0.0,1.0693677754688564,1.7420214680821249,1.2330842752765314,1.6484222921909826,0.4065040650406504,0.4878048780487805,0.2032520325203252,0.23148148148148148,0.2777777777777778,1.1574074074074074,18.156917662981606,30.12418442220389,65.98515376458113,50,39.68,D
강북구,37.6396,127.0257,313000,23.6,7,4,14,5,1.1015340250992878,1.5896432862463188,0.0,2.850390939207926,1.9560213573161451,3.0367638195397446,3.1957614515055055,0.2966101694915254,0.1694915254237288,0.211864406779661,0.22364217252396165,0.12779552715654952,1.597444089456869,11.052910412433372,0.8014335636721336,28.28378634627252,50,20.01,F
강서구,37.5509,126.8495,601000,41.4,24,18,13,7,0.22295241030728005,0.5511300250716584,0.0,1.2142976524194076,0.9477896817586083,0.7962922088422308,2.652744022805051,0.5797101449275363,0.43478260869565216,0.16908212560386474,0.39933444259567386,0.2995008319467554,1.1647254575707153,47.210077353944996,42.1972840122792,29.680065893874964,50,41.37,D
관악구,37.4784,126.9516,506000,29.6,20,15,11,7,0.3013993299827071,0.4569535054661696,0.0,1.4090145608489435,0.8564667771558021,0.9622513014358823,2.7235240002132284,0.6756756756756757,0.5067567567567567,0.23648648648648649,0.3952569169960474,0.2964426877470356,1.383399209486166,55.72740964114501,38.28892303955815,39.91025429873471,50,46.64,D
광진구,37.5384,127.0822,355000,17.1,14,10,20,3,0.4156650877272935,1.1658082047880824,0.0,3.75833359890367,1.342113858714534,1.3368849893176105,4.5677031775870445,0.8187134502923976,0.5847953216374269,0.17543859649122806,0.39436619718309857,0.28169014084507044,0.8450704225352113,41.40335143819672,31.862874630263647,9.025467121025883,50,31.07,F
구로구,37.4954,126.8874,418000,20.1,16,12,14,5,0.42091229809799185,0.6130193136724266,0.0,1.1834602867414312,1.4395928335677477,1.007892504569189,2.1648192804660282,0.7960199004975124,0.5970149253731343,0.24875621890547261,0.3827751196172249,0.28708133971291866,1.1961722488038278,38.15122334935154,40.358434175524295,54.761657091790994,50,45.35,D
금천구,37.4519,126.8955,238000,13.0,5,3,19,3,1.4494949864226396,1.389979739756093,0.0,4.660789091463443,3.059113097802901,2.397448999347027,6.122397718185629,0.38461538461538464,0.23076923076923078,0.23076923076923078,0.21008403361344538,0.12605042016806722,1.2605042016806722,4.8312156593406606,6.390940587750434,10.703946488294319,50,13.68,F
노원구,37.6542,127.0568,535000,35.4,21,16,18,7,1.2168825762462907,1.0057206052930794,0.0,2.000906913655756,1.2848792952901673,1.081178095273914,2.3722528686143445,0.5932203389830508,0.4519774011299435,0.1977401129943503,0.3925233644859813,0.2990654205607477,1.308411214953271,34.83425668189038,32.44587321123585,40.60791639234968,50,38.36,D
도봉구,37.6688,127.0471,334000,20.7,7,5,14,4,0.9587875320016803,2.7389697077444324,0.0,1.242342628304148,1.5620901191704908,3.254275556992298,2.658849050926229,0.33816425120772947,0.24154589371980678,0.1932367149758454,0.20958083832335328,0.1497005988023952,1.1976047904191618,18.939608443568716,2.8523689664321736,33.70493234201151,50,24.81,F
동대문구,37.5744,127.0396,348000,14.2,13,10,14,3,1.1403464909232197,1.2512271488394455,0.0,2.020654047096083,1.5221923305702867,1.9428241393467924,2.9777499851291114,0.9154929577464789,0.7042253521126761,0.21126760563380284,0.3735632183908046,0.28735632183908044,0.8620689655172414,40.64109411296338,28.58788301020362,31.317269984380165,50,36.84,D
동작구,37.5124,126.9393,398000,16.4,15,11,12,3,0.11791757090768391,0.1509548259894921,0.0,1.5685186984726014,0.7297620444176159,0.6531541976195584,3.6916620140292764,0.9146341463414634,0.6707317073170732,0.1829268292682927,0.3768844221105528,0.27638190954773867,0.7537688442211056,73.21158096252081,59.75793045134124,17.53152079943391,50,50.34,C
마포구,37.5663,126.9019,376000,23.9,15,11,19,5,0.44240488670746403,1.0210560761822853,0.0,1.6885646236250247,1.4451389679901303,1.240725507136841,2.6620523845664015,0.6276150627615064,0.46025104602510464,0.2092050209205021,0.39893617021276595,0.2925531914893617,1.3297872340425532,31.930898252329733,28.86768745754231,36.381926363804226,50,35.36,D
서대문구,37.5791,126.9368,315000,17.6,12,9,15,4,0.9036846675573404,0.9805356723893746,0.0,4.045933053620154,1.1354267319234186,1.224468883590647,5.684294185866793,0.6818181818181818,0.5113636363636364,0.22727272727272727,0.38095238095238093,0.2857142857142857,1.2698412698412698,42.876198946527616,31.245954633473396,11.880296348138108,50,32.32,F
서초구,37.4837,127.0324,433000,47.0,30,24,16,8,0.056879574547413506,0.3028476661031029,0.0,1.4752038796003888,0.6862128470702642,0.44176355171728465,1.6524239394995928,0.6382978723404256,0.5106382978723404,0.1702127659574468,0.6928406466512702,0.5542725173210162,1.8475750577367205,66.91321871210621,73.50475328202806,60.12885527876275,50,63.66,C
